task id session trial condition trialxcondition perceived_liking perceived_intensity EMG
hedonic 07 two 52 empty 16 50.000000 12.711864 0.000075
hedonic 07 two 53 empty 17 50.000000 12.711864 0.000081
hedonic 07 two 54 empty 18 50.000000 12.711864 0.000075
hedonic 09 two 1 empty 1 69.491525 60.169492 0.000296
hedonic 09 two 2 empty 2 50.000000 12.711864 0.000228
hedonic 09 two 3 empty 3 50.000000 12.711864 0.000247
hedonic 09 two 4 neutral 1 36.440678 22.033898 0.000217
hedonic 09 two 5 neutral 2 38.983051 40.677966 0.000222
hedonic 09 two 6 neutral 3 50.000000 12.711864 0.000191
hedonic 09 two 7 chocolate 1 87.288136 63.559322 0.000272
hedonic 09 two 8 chocolate 2 61.864407 44.915254 0.000228
hedonic 09 two 9 chocolate 3 57.627119 26.271186 0.000230
hedonic 09 two 10 empty 4 55.084746 30.508475 0.000227
hedonic 09 two 11 empty 5 50.000000 12.711864 0.000260
hedonic 09 two 12 empty 6 50.000000 12.711864 0.000211
hedonic 09 two 13 neutral 4 55.084746 22.033898 0.000226
hedonic 09 two 14 neutral 5 39.830508 16.101695 0.000261
hedonic 09 two 15 neutral 6 50.000000 12.711864 0.000230
hedonic 09 two 16 chocolate 4 87.288136 73.728814 0.000232
hedonic 09 two 17 chocolate 5 59.322034 21.186441 0.000252
hedonic 09 two 18 chocolate 6 35.593220 17.796610 0.000208
hedonic 09 two 19 empty 7 55.932203 20.338983 0.000215
hedonic 09 two 20 empty 8 50.000000 12.711864 0.000233
hedonic 09 two 21 empty 9 35.593220 18.644068 0.000249
hedonic 09 two 22 neutral 7 57.627119 24.576271 0.000197
hedonic 09 two 23 neutral 8 50.000000 12.711864 0.000262
hedonic 09 two 24 neutral 9 50.000000 16.101695 0.000229
hedonic 09 two 25 chocolate 7 78.813559 78.813559 0.000224
hedonic 09 two 26 chocolate 8 62.711864 57.627119 0.000191
hedonic 09 two 27 chocolate 9 57.627119 58.474576 0.000285
hedonic 09 two 28 empty 10 56.779661 59.322034 0.000221
hedonic 09 two 29 empty 11 38.983051 16.101695 0.000197
hedonic 09 two 30 empty 12 50.000000 12.711864 0.000452
hedonic 09 two 31 chocolate 10 50.000000 58.474576 0.000279
hedonic 09 two 32 chocolate 11 58.474576 16.101695 0.000229
hedonic 09 two 33 chocolate 12 38.983051 12.711864 0.000198
hedonic 09 two 34 neutral 10 50.000000 12.711864 0.000231
