task id session trial condition trialxcondition n_grips reward
PIT 11 two 22 Baseline 4 5 0
PIT 11 two 23 Baseline 5 0 0
PIT 11 two 24 Baseline 6 7 0
PIT 11 two 25 CSminus 4 13 0
PIT 11 two 26 CSminus 5 0 0
PIT 11 two 27 CSminus 6 0 0
PIT 11 two 28 CSminus 7 0 0
PIT 11 two 29 CSminus 8 1 0
PIT 11 two 30 CSminus 9 7 0
PIT 11 two 31 CSplus 7 12 0
PIT 11 two 32 CSplus 8 14 0
PIT 11 two 33 CSplus 9 13 0
PIT 11 two 34 Baseline 7 0 0
PIT 11 two 35 Baseline 8 0 0
PIT 11 two 36 Baseline 9 3 0
PIT 11 two 37 CSminus 10 0 0
PIT 11 two 38 CSminus 11 0 0
PIT 11 two 39 CSminus 12 9 0
PIT 11 two 40 CSplus 10 10 0
PIT 11 two 41 CSplus 11 9 0
PIT 11 two 42 CSplus 12 4 0
PIT 11 two 43 Baseline 10 4 0
PIT 11 two 44 Baseline 11 2 0
PIT 11 two 45 Baseline 12 3 0
PIT 11 two 46 CSminus 13 0 0
PIT 11 two 47 CSminus 14 0 0
PIT 11 two 48 CSminus 15 6 0
PIT 11 two 49 CSplus 13 11 0
PIT 11 two 50 CSplus 14 5 0
PIT 11 two 51 CSplus 15 12 0
PIT 11 two 52 Baseline 13 0 0
PIT 11 two 53 Baseline 14 2 0
PIT 11 two 54 Baseline 15 8 0
Reminder 12 two 1 None 1 11 2
Reminder 12 two 2 None 2 15 2
Reminder 12 two 3 None 3 16 2
Partial_Extinction 12 two 4 None 4 18 1
Partial_Extinction 12 two 5 None 5 19 1
Partial_Extinction 12 two 6 None 6 22 1
Partial_Extinction 12 two 7 None 7 23 1
Partial_Extinction 12 two 8 None 8 16 1
Partial_Extinction 12 two 9 None 9 15 1
PIT 12 two 10 Baseline 1 11 0
PIT 12 two 11 Baseline 2 5 0
PIT 12 two 12 Baseline 3 16 0
PIT 12 two 13 CSminus 1 6 0
PIT 12 two 14 CSminus 2 2 0
PIT 12 two 15 CSminus 3 3 0
PIT 12 two 16 CSplus 1 23 0
PIT 12 two 17 CSplus 2 23 0
PIT 12 two 18 CSplus 3 21 0
PIT 12 two 19 CSplus 4 5 0
PIT 12 two 20 CSplus 5 19 0
PIT 12 two 21 CSplus 6 11 0
PIT 12 two 22 CSminus 4 3 0
PIT 12 two 23 CSminus 5 2 0
PIT 12 two 24 CSminus 6 3 0
PIT 12 two 25 Baseline 4 4 0
PIT 12 two 26 Baseline 5 4 0
PIT 12 two 27 Baseline 6 3 0
PIT 12 two 28 CSplus 7 13 0
PIT 12 two 29 CSplus 8 5 0
PIT 12 two 30 CSplus 9 6 0
PIT 12 two 31 CSminus 7 2 0
PIT 12 two 32 CSminus 8 1 0
PIT 12 two 33 CSminus 9 5 0
PIT 12 two 34 Baseline 7 1 0
PIT 12 two 35 Baseline 8 0 0
PIT 12 two 36 Baseline 9 2 0
PIT 12 two 37 CSminus 10 4 0
PIT 12 two 38 CSminus 11 0 0
PIT 12 two 39 CSminus 12 0 0
PIT 12 two 40 Baseline 10 1 0
PIT 12 two 41 Baseline 11 4 0
PIT 12 two 42 Baseline 12 4 0
PIT 12 two 43 CSplus 10 18 0
PIT 12 two 44 CSplus 11 2 0
PIT 12 two 45 CSplus 12 13 0
PIT 12 two 46 CSplus 13 13 0
PIT 12 two 47 CSplus 14 13 0
PIT 12 two 48 CSplus 15 22 0
PIT 12 two 49 Baseline 13 2 0
PIT 12 two 50 Baseline 14 0 0
PIT 12 two 51 Baseline 15 1 0
PIT 12 two 52 CSminus 13 1 0
PIT 12 two 53 CSminus 14 2 0
PIT 12 two 54 CSminus 15 0 0
Reminder 13 two 1 None 1 19 2
Reminder 13 two 2 None 2 17 2
Reminder 13 two 3 None 3 18 2
Partial_Extinction 13 two 4 None 4 22 1
Partial_Extinction 13 two 5 None 5 19 1
Partial_Extinction 13 two 6 None 6 19 1
Partial_Extinction 13 two 7 None 7 20 1
Partial_Extinction 13 two 8 None 8 19 1
Partial_Extinction 13 two 9 None 9 19 1
PIT 13 two 10 CSplus 1 20 0
PIT 13 two 11 CSplus 2 20 0
PIT 13 two 12 CSplus 3 23 0
PIT 13 two 13 Baseline 1 21 0
PIT 13 two 14 Baseline 2 22 0
PIT 13 two 15 Baseline 3 15 0
PIT 13 two 16 CSminus 1 22 0
PIT 13 two 17 CSminus 2 16 0
PIT 13 two 18 CSminus 3 19 0
PIT 13 two 19 Baseline 4 17 0
PIT 13 two 20 Baseline 5 16 0
PIT 13 two 21 Baseline 6 9 0
PIT 13 two 22 CSplus 4 13 0
