task id session trial condition trialxcondition RT accuracy liking_ratings rounds
pavlovian_learning 05 one 11 CSminus 5 0.366923 1 71.186441 2
pavlovian_learning 05 one 12 CSminus 6 0.428762 1 71.186441 3
pavlovian_learning 05 one 13 CSplus 7 0.453178 1 71.186441 1
pavlovian_learning 05 one 14 CSplus 8 0.438236 1 71.186441 2
pavlovian_learning 05 one 15 CSplus 9 0.484028 1 71.186441 3
pavlovian_learning 05 one 16 CSminus 7 0.531398 1 71.186441 1
pavlovian_learning 05 one 17 CSminus 8 0.434548 1 71.186441 2
pavlovian_learning 05 one 18 CSminus 9 0.393124 1 71.186441 3
pavlovian_learning 05 one 19 CSplus 10 0.415806 1 71.186441 1
pavlovian_learning 05 one 20 CSplus 11 0.356647 1 71.186441 2
pavlovian_learning 05 one 21 CSplus 12 0.432268 1 71.186441 3
pavlovian_learning 05 one 22 CSminus 10 0.489828 1 71.186441 1
pavlovian_learning 05 one 23 CSminus 11 0.422716 1 71.186441 2
pavlovian_learning 05 one 24 CSminus 12 0.321023 1 71.186441 3
pavlovian_learning 05 one 25 CSplus 13 0.440392 1 71.186441 1
pavlovian_learning 05 one 26 CSplus 14 0.518434 1 71.186441 2
pavlovian_learning 05 one 27 CSplus 15 0.546326 1 71.186441 3
pavlovian_learning 05 one 28 CSminus 13 0.387798 1 71.186441 1
pavlovian_learning 05 one 29 CSminus 14 0.536363 1 71.186441 2
pavlovian_learning 05 one 30 CSminus 15 0.390708 1 71.186441 3
pavlovian_learning 05 one 31 CSplus 16 0.408609 1 71.186441 1
pavlovian_learning 05 one 32 CSplus 17 0.550909 1 71.186441 2
pavlovian_learning 05 one 33 CSplus 18 0.349480 1 71.186441 3
pavlovian_learning 05 one 34 CSminus 16 0.299359 1 71.186441 1
pavlovian_learning 05 one 35 CSminus 17 0.484873 1 71.186441 2
pavlovian_learning 05 one 36 CSminus 18 0.445865 1 71.186441 3
pavlovian_learning 05 one 37 CSplus 19 0.322018 1 71.186441 1
pavlovian_learning 05 one 38 CSplus 20 0.478917 1 71.186441 2
pavlovian_learning 05 one 39 CSplus 21 0.403982 1 71.186441 3
pavlovian_learning 05 one 40 CSminus 19 0.388299 1 71.186441 1
pavlovian_learning 05 one 41 CSminus 20 0.425370 1 71.186441 2
pavlovian_learning 05 one 42 CSminus 21 0.339747 1 71.186441 3
pavlovian_learning 05 one 43 CSplus 22 0.333877 1 71.186441 1
pavlovian_learning 05 one 44 CSplus 23 0.485490 1 71.186441 2
pavlovian_learning 05 one 45 CSplus 24 0.501124 1 71.186441 3
pavlovian_learning 05 one 46 CSminus 22 0.407801 1 71.186441 1
pavlovian_learning 05 one 47 CSminus 23 0.519824 1 71.186441 2
pavlovian_learning 05 one 48 CSminus 24 0.396635 1 71.186441 3
pavlovian_learning 05 one 49 CSplus 25 0.353873 1 71.186441 1
pavlovian_learning 05 one 50 CSplus 26 0.374476 1 71.186441 2
pavlovian_learning 05 one 51 CSplus 27 0.481402 1 71.186441 3
pavlovian_learning 05 one 52 CSminus 25 0.393913 1 71.186441 1
pavlovian_learning 05 one 53 CSminus 26 0.460311 1 71.186441 2
pavlovian_learning 05 one 54 CSminus 27 0.371560 1 71.186441 3
pavlovian_learning 05 one 55 CSplus 28 0.312401 1 71.186441 1
